model,accuracy,precision,recall,f1,auc,k,best_params
KNN,0.823953823953824,0.7645985401459854,0.7846441947565543,0.7744916820702402,0.8898329113256318,3,{'clf__n_neighbors': 9}
SVM,0.7846320346320347,0.7112107623318386,0.7425093632958801,0.7265231333027944,0.8263625134075364,3,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}"
DecisionTree,0.7997835497835498,0.7351054078826764,0.7509363295880149,0.7429365446966187,0.8458237722213431,3,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}"
RandomForest,0.836940836940837,0.7927756653992395,0.7808988764044944,0.7867924528301887,0.9025552346538657,3,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
KNN,0.8564213564213564,0.8084714548802947,0.8220973782771536,0.8152274837511607,0.9136735990223488,6,{'clf__n_neighbors': 9}
SVM,0.8354978354978355,0.7849162011173184,0.7893258426966292,0.7871148459383753,0.8989489370681016,6,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}"
DecisionTree,0.8232323232323232,0.7661141804788214,0.7790262172284644,0.7725162488393686,0.867352484130752,6,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}"
RandomForest,0.8661616161616161,0.8426745329400197,0.802434456928839,0.8220623501199041,0.9275358376852878,6,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
KNN,0.8885281385281385,0.8631578947368421,0.8445692883895131,0.8537624230951254,0.9376181401768917,9,{'clf__n_neighbors': 9}
SVM,0.8982683982683982,0.8679775280898876,0.8679775280898876,0.8679775280898876,0.9416585342265829,9,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}"
DecisionTree,0.8286435786435786,0.7673579801623084,0.7968164794007491,0.7818098300413414,0.8828280230697544,9,"{'clf__max_depth': 5, 'clf__min_samples_split': 5}"
RandomForest,0.8946608946608947,0.87890625,0.8426966292134831,0.8604206500956022,0.9513446550087039,9,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}"
KNN,0.88997113997114,0.8707482993197279,0.8389513108614233,0.8545541249403912,0.9372417400784231,15,{'clf__n_neighbors': 9}
SVM,0.9018759018759018,0.871268656716418,0.8745318352059925,0.8728971962616823,0.9534615621318423,15,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}"
DecisionTree,0.8528138528138528,0.8280318091451292,0.7799625468164794,0.8032786885245902,0.8832568993863303,15,"{'clf__max_depth': 5, 'clf__min_samples_split': 2}"
RandomForest,0.8971861471861472,0.8911088911088911,0.8352059925093633,0.86225229579507,0.9548190751877054,15,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
KNN,0.8773448773448773,0.8479923518164436,0.8305243445692884,0.8391674550614948,0.9312278555854479,20,{'clf__n_neighbors': 9}
SVM,0.913059163059163,0.8860877684407096,0.8885767790262172,0.8873305282842449,0.9602241256527931,20,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}"
DecisionTree,0.841991341991342,0.7938432835820896,0.7968164794007491,0.7953271028037383,0.8862463953508818,20,"{'clf__max_depth': 5, 'clf__min_samples_split': 2}"
RandomForest,0.9062049062049062,0.9031936127744511,0.8473782771535581,0.8743961352657005,0.9561309806403966,20,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
KNN,0.8733766233766234,0.8250226654578422,0.8520599250936329,0.8383233532934131,0.9307410081588157,25,{'clf__n_neighbors': 9}
SVM,0.9181096681096681,0.8889916743755781,0.899812734082397,0.8943694741740345,0.964912916952401,25,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}"
DecisionTree,0.8315295815295816,0.7774699907663897,0.7883895131086143,0.7828916782891677,0.870873336146718,25,"{'clf__max_depth': 5, 'clf__min_samples_split': 2}"
RandomForest,0.908008658008658,0.906093906093906,0.849250936329588,0.8767520541324312,0.961067316822282,25,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
KNN,0.8704906204906205,0.8261269549218031,0.8408239700374532,0.8334106728538284,0.929149687450546,30,{'clf__n_neighbors': 9}
SVM,0.9148629148629148,0.8873370577281192,0.8923220973782772,0.8898225957049487,0.9661157487999156,30,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}"
DecisionTree,0.8430735930735931,0.790633608815427,0.8061797752808989,0.7983310152990264,0.8885965606372317,30,"{'clf__max_depth': 5, 'clf__min_samples_split': 2}"
RandomForest,0.9076479076479076,0.9076305220883534,0.846441947565543,0.8759689922480619,0.961102484130752,30,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
